17/08/2021 09:23:33 3.24  109.02 29.76 110.81 8.48

17/08/2021 09:23:37 2.74  109.07 29.78 110.81 8.48

17/08/2021 09:23:41 3.33  108.92 29.76 110.76 8.48

17/08/2021 09:23:45 3.34  109.02 29.76 110.81 8.53

17/08/2021 09:23:49 2.80  108.92 29.78 110.76 8.46

17/08/2021 09:23:53 2.69  109.02 29.76 110.81 8.46

17/08/2021 09:23:57 3.37  109.07 29.76 110.81 8.48

17/08/2021 09:24:01 3.34  108.88 29.73 110.76 8.50

17/08/2021 09:24:05 3.34  108.97 29.78 110.81 8.43

17/08/2021 09:24:09 2.44  109.12 29.76 110.81 8.48

17/08/2021 09:24:13 3.16  108.97 29.70 110.81 8.46

17/08/2021 09:24:17 3.35  108.97 29.78 110.81 8.53

17/08/2021 09:24:22 3.35  108.97 29.76 110.81 8.46

17/08/2021 09:24:26 3.06  108.97 29.70 110.81 8.50

17/08/2021 09:24:30 2.54  108.88 29.76 110.81 8.50

17/08/2021 09:24:34 3.34  108.97 29.73 110.81 8.46

17/08/2021 09:24:38 3.34  108.97 29.73 110.81 8.48

17/08/2021 09:24:42 3.32  108.97 29.76 110.81 8.48

17/08/2021 09:24:46 2.56  108.92 29.70 110.81 8.50

17/08/2021 09:24:50 3.38  109.02 29.76 110.81 8.48

17/08/2021 09:24:54 3.33  109.07 29.70 110.81 8.48

17/08/2021 09:24:58 2.43  108.97 29.76 110.81 8.41

17/08/2021 09:25:02 3.36  109.07 29.76 110.76 8.46

17/08/2021 09:25:06 3.34  108.92 29.73 110.81 8.46

17/08/2021 09:25:10 2.40  109.07 29.76 110.81 8.48

17/08/2021 09:25:14 3.35  109.07 29.76 110.76 8.41

17/08/2021 09:25:18 3.34  109.07 29.76 110.81 8.48

17/08/2021 09:25:22 2.54  108.97 29.73 110.81 8.46

17/08/2021 09:25:26 3.35  108.92 29.73 110.81 8.43

17/08/2021 09:25:30 3.34  109.07 29.76 110.81 8.46

17/08/2021 09:25:35 2.42  109.21 29.76 110.81 8.50

17/08/2021 09:25:39 3.32  109.07 29.76 110.81 8.48

17/08/2021 09:25:43 3.34  108.88 29.73 110.81 8.46

17/08/2021 09:25:47 2.37  108.97 29.76 110.81 8.46

17/08/2021 09:25:51 3.35  108.97 29.73 110.81 8.50

17/08/2021 09:25:55 3.33  108.97 29.76 110.81 8.53

17/08/2021 09:25:59 2.35  109.07 29.76 110.81 8.43

17/08/2021 09:26:03 3.33  109.02 29.76 110.81 8.53

17/08/2021 09:26:07 3.33  109.07 29.76 110.81 8.46

17/08/2021 09:26:11 2.54  109.12 29.73 110.81 8.48

17/08/2021 09:26:15 3.24  109.12 29.76 110.81 8.43

17/08/2021 09:26:19 3.36  109.02 29.78 110.81 8.50

17/08/2021 09:26:23 3.33  109.07 29.81 110.76 8.48

17/08/2021 09:26:27 2.43  109.02 29.78 110.81 8.43

17/08/2021 09:26:31 3.25  108.97 29.73 110.81 8.46

17/08/2021 09:26:35 3.34  108.97 29.73 110.81 8.48
